objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel
Nursery-wallpaper-detail--1-Groo-2011,Nursery-wallpaper-detail--1-Groo-2011.jpg,,,Schoolroom detail by Frederic Schweppe,John Groo,2011,,,,,,,The Mark Twain House & Museum,Nursery wallpaper detail -1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
OLC-Alone--1,OLC-Alone--1.jpg,,,Portrait of Olivia Louise Clemens (nee Langdon),Prescott & White,1872,"Sepia toned photographic image of a woman. The photograph is a bust view showing the woman's shoulders and head, but not her body. The woman's head is turned slightly to the proper right, thus showing the left side of her face and left ear, but only a fraction of her right cheek.  The woman's hair is platted and bunded on top of her head. She is wearting a black ruffled top with two or three visible buttons down the front and a white lace collar. There is a broach along the collar of her top, but no other jewelry is seen. The photograph has a white boarder with no text written to identify the subject or photographer. The woman has been identified as Olivia Louise Langdon Clemens. ",Social; Identity; Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; Consumer,D.K. Prescott; Isaac White; Olivia Louise Clemens (nee Langdon) ,"Prescott & White, 15 Pratt Street, Hartford, CT",41.76771559,,The Mark Twain House & Museum,OLC Alone -1,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Olivia Loomis Lada- Mocarski","This photograph of 27-year-old Olivia Clemens (nee Langdon) was taken by Prescott & White at 15 Pratt Street in Hartford, soon after she and her husband Samuel Clemens (Mark Twain) moved to the city. "
PC Exterior 19th -1-6,yes,,,"Mark Twain House, Hartford, Conn.",,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,PC Exterior 19th -1.6,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
PC Exterior 19th -10-1,yes,,,"The Mark Twain Memorial Library, Hartford, Connecticut",,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,PC Exterior 19th -10.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
PC Exterior 19th -31-2,yes,,,"The Mark Twain House by C. Allen Gilbert, 1890",C. Allen Gilbert,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,PC Exterior 19th -31.2,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
PC Exterior 19th -33,yes,,,"Home of ""Mark Twain"", Hartford, Conn. ",W. B. Hale,1905,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,Mrs. Mark A. Elliott,"44.502054730296,-70.671436136081",41.76705545,-72.70141583,The Mark Twain House & Museum,PC Exterior 19th -33,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard. Front features a black and white image of the Mark Twain House in Hartford, Connecticut. The view is from the north-east corner. The trees do not have leaves suggesting a late fall, winter, or early spring time.  A woman in a white dress walks away from the House towards the viewer. In the lower margin, printed in red ink is the text ""Home of ""Mark Twain"", Hartford, Conn."". There are also signed initials of ""R.S.C."" below the lower proper left corner of the image, signed in black ink. 


The postcard is addressed in handwritten black ink to ""Rumford Point, \ Maine \ Mrs. Mark A. Elliott."" The two postmarks indicate the postcard was sent in November 1906."
PC Exterior 19th -4,yes,,,"Mark Twain Memorial, home of the celebrated author, Hartford, Conn.",,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,PC Exterior 19th -4,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
PC Exterior 19th -41,yes,,,"Mark Twain's Residence, Hartford, Conn.",,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,PC Exterior 19th -41,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
PC Exterior 19th -45-1,yes,,,House Built by Mark Twain,,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,PC Exterior 19th -45.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
PC Exterior 19th -49,yes,,,"Hartford Conn., The Late Mark Twain's Residence, Farmington Avenue.",,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,PC Exterior 19th -49,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
PC Exterior 19th -6-1,yes,,,"Mark Twain Memorial, Hartford, Conn.",,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,PC Exterior 19th -6.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
PC Exterior 19th -7,yes,,,"The Mark Twain Memorial Branch of Hartford Public Library, Hartford, Conn.",,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,PC Exterior 19th -7,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut."
PC Interiors 15-2,yes,,,"Mark Twain Memorial, Hartford, Connecticut",Louis. H. Frohman ,c.1955,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,Louis. H. Frohman; Edith C. Salsburyl Ida langdon,,,,The Mark Twain House & Museum,PC Interiors 15.2,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,Postcard featuring a photograph of the Mark Twain House Mahogany Suite
PC Interiors 16,yes,,,"Mark Twain House (1874) Hartford, Connecticut",Louis. H. Frohman ,c.1963,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,Louis. H. Frohman; Edith C. Salsburyl Ida langdon,,,,The Mark Twain House & Museum,PC Interiors 16,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,Postcard featuring a photograph of the Mark Twain House Mahogany Suite
PC Interiors 4-1,yes,,,"Mark Twain Memorial, Hartford, Connecticut",Louis. H. Frohman ,c.1962,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture; Social Personal Relationships; ,Louis. H. Frohman; Edith C. Salsburyl Ida langdon,,,,The Mark Twain House & Museum,PC Interiors 4.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"Postcard featuring an photograph of the Hartford house drawing room, sent from Edith C. Salsbury to Ida Langdon regarding Clemens letters being sent from Ms. Langdon to Salsbury"
PC Interiors 5-1,yes,,,"Mark Twian's House (1874) Hartford, Connecticut, Drawing Room",Louis. H. Frohman ,c.1975,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,Louis. H. Frohman; Edith C. Salsburyl Ida langdon,,,,The Mark Twain House & Museum,PC Interiors 5.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,Postcard featuring a photograph of the Mark Twain House drawing room
PC Interiors 8-3,yes,,,"Mark Twain House (1874) Hartford, Connecticut",Louis. H. Frohman ,c.1963,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,Louis. H. Frohman ,,,,The Mark Twain House & Museum,PC Interiors 8.3,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,Postcard featuring a photograph of the Mark Twain House dinning room
PC No -01,yes,,,"Residence of ""Mark Twain,"" Hartford, Conn.",Danziger & Berman,c.1920,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,Max  Danziger; Morris Berman,need to find Danziger & Berman's address in New Haven,41.76705545,-72.70141583,The Mark Twain House & Museum,PC No -01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Katie Metcalf","3.5x5 inch postcard of the Mark Twain House in Hartford, Connecticut. The front of the postcard features a colorized image of the east side of the brick house, showing the port cochre, ombra, and three third floor balconies. The porch has climbing vines which have been colorized to be roses. The brickwork is colorized to be yellow and tan with red wood work and chimneys. In the sky above the house is typed text in red ink reading: ""Residence of ""Mark Twain"", Hartford, Conn.""

The verso has printed information indicating this as a post card. The post card is unused and unsent. Typed black text along the left edge reads: ""No. 2034. Pub. by Danziger & Berman, \ New Haven, Conn."""
Rosa2-(2),Rosa2--2-.jpg,,,Rosina Hay ,H.L. Bundy,,,,,,,,The Mark Twain House & Museum,Rosa2 (2),Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Olivia Lada-Mocarski",
Schoolroom--1-Groo-2023,Schoolroom--1-Groo-2023.jpg,,,Schoolroom,John Groo,2023,,,,,,,The Mark Twain House & Museum,Schoolroom -1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
SCL+FamilyGroups-10,SCL+FamilyGroups-10,,,"Dr. A Reeves Jackson, Susy Clemens, Samuel Clemens, Olivia Clemens and Mrs. Jackson on the ombra of the Clemens' Hartford home",Daniel Camp,c.1875,,Social; Identity; Cultural; Arts; Visual Arts; Photogrpahy; Economic; Labor,"Dr. A Reeves Jackson; Olivia Susan Clemens; Samuel L. Clemens,  Olivia Louise Clemens (nee Langdon); Mrs. Jackson; Daniel Camp","351 Farmington Ave, Hartford, CT ",41.76717154,-72.70143857,The Mark Twain House & Museum,SCL+FamilyGroups-10,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum collections,The Clemenses entertain family friends Dr. and Mrs. A Reeves Jackson at their Hartford home. Dr. Jackson was the physician aboard the S.S. Quaker City voyage that took Samuel as well as Olivia's brother Charles to the Holy Land.
Servants-Entry-Hall-,Servants-Entry-Hall.jpg,,,Servants Hall ,,,,,,,,,The Mark Twain House & Museum,Servants Entry Hall ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
SLC 70th Birthday -1,SLC-70th-Birthday--1,,,Samuel Clemens and friends celebrating his 70th Birthday at Delmonicos ,Bryon Photo,11/30/1905,,Social; Identity; Cultural; Arts; Visual Arts; Photography; Memory & Commemoriation; Birthday,Samuel L. Clemens; Rev. Joseph Twitchell; Kate Douglas Wiggin; Bliss Carman; Ruth McEnery Stuart; Henry H. Rogers; Henry Mills Alden; Mary E. W. Freeman,"Delmonico's, 56 Beaver, Street, New York, New  York",40.7057588,-74.01016987,The Mark Twain House & Museum,SLC 70th Birthday -1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum collections,"New York Herald from Wednesday, November 20, 1935 ran this image, orignially printed in Harpers Magazine, with the title ""Going Back Thiry Years tto a Dinner at Delmonico's Honoring Mark Twain"" and the caption ""A scene at dinner in 1905 when America's literary and social world joined ina tribute to the author of ""Huckleberry Finn"" on the occasion of his seventieth birthday. Stereopticon pictures of this event were showsn at last night's Mark Twain centennial dinner at the Waldor Astoria. Seated Clockwise around the table are Mark Twain, Kate Doublas Wiggin, the Rev. Joseph H. Twitchell, Bliss Carman, Ruth McEnery Stuart, Henry H. Rogers, Henry Mills Alden, and Mary E. W. Freeman."""
SLC Alone 1861-70 -16,SLC-Alone-1861-70--16,,,Carte-de-visite portrait of Mark Twain,Edwin P. Kellogg,,,Social; Identity; Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; ,Samuel L. Clemens; Edwin P. Kellogg,Today the Gold Building,41.76558477,-72.67386496,The Mark Twain House & Museum,SLC Alone 1861-70 -16,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twian House & Museum, Museum Purchase","Carte-de-visite photo of a youthful Samuel Clemens, by Edwin  P. Kellogg of Hartford, Connecticut, signed at the bottom in pencil, ""Yours Truly Samuel L. Clemens"""
SLC Alone 1871-75 -8,SLC-Alone-1871-75--8,,,Portrait of Samuel L. Clemens (Mark Twain),Roger & Nelson,1873,,Social; Identity; Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; ,Samuel L. Clemens; Roger; Nelson,"215 Regent Street, London",51.51358126,-0.14123105,The Mark Twain House & Museum,SLC Alone 1871-75 -8,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twian House & Museum collections,
SLC Alone 1895 -15,SLC-Alone-1895--15,,,Portrait of Samuel L. Clemens (Mark Twain),Unknown,1895,,Social; Identity; Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; ,Samuel L. Clemens;,,,,The Mark Twain House & Museum,SLC Alone 1895 -15,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twian House & Museum, Gift of Robert Knapp Mooney, 1977",
SLC Alone 1903 -7,SLC-Alone-1903--7,,,Portrait of Samuel L. Clemens (Mark Twain),Unknown,7/17/1903,,Social; Identity; Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; ,Samuel L. Clemens;,"Quarry Farm, Elmira, New York",42.11346948,-76.78240112,The Mark Twain House & Museum,SLC Alone 1903 -7,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twian House & Museum collections,
SLC Alone 1906 -8,SLC-Alone-1906--8,,,Portrait of Samuel L. Clemens (Mark Twain),Albert Bigelow Paine,1906,,Social; Identity; Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; ,Samuel L. Clemens; Albert Bigelow Paine,"Dublin, New Hampshire",42.91291636,-72.06445706,The Mark Twain House & Museum,SLC Alone 1906 -8,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twian House & Museum, Gift of Jonathan Goodwin","One of a seven series set of photographs by Albert Bigelow Paine (1861-1937) taken in 1906 in Dublin, New Hampshire. Clemens stated that: “This series of photographs registers with scientific precision, stage by stage, the progress of a moral purpose through the mind of the human race’s oldest friend” The photographs are numbered and have the following handwritten captions:
No. 1 Shall I learn to be good? ....... I will sit here and think it over No. 2 There do seem to be so many diffi ..... No. 3 And yet I should really try .... No. 4 .... and just put my whole heart in it .... No. 5 .... But then I couldn't break the Sab .... No. 6 .... and there's so many other privileges that .... perhaps ... No. 7 Oh, never mind,"
SLC Alone 1907 -13,SLC-Alone-1907--13,,,Portrait of Samuel L. Clemens (Mark Twain) with a Kitten,,1907,,Social; Identity; Cultural; Arts; Visual Arts; Photogrpahy; Economic; Business; ,Samuel L. Clemens;,"Tuxedo, New York",41.24416538,-74.19373399,The Mark Twain House & Museum,SLC Alone 1907 -13,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twian House & Museum collections,
SLC-&-Family-Groups--1,SLC-\u0026-Family-Groups--1.tif,,,The Clemens Family on the Porch of their Hartford home,Unidentified photographer,1885,,social; personal relationships; faily; identity; cultural; Arts; visual arts; photography,Samuel Longhorne Clemens; Olivia Louise Clemens (nee Langdon); Olivia Susan Clemens; Clara Langdon Clemens; Jane Lampton Clemens,"351 Farmington Ave, Hartford, CT ",41.76717154,,The Mark Twain House & Museum,SLC & Family Groups -1,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. "," The Mark Twain House & Museum Collections,  Gift of Harpers",SLC-&-Family-Groups--1
SLC-&-family-groups--10b,SLC---family-groups--10b.jpg,,,"Dr. A. Reeves Jackson, Susy Clemens, Samuel Clemens, Olivia Clemens, Mrs. Jackson ",,1875,,,,,,,The Mark Twain House & Museum,SLC & family groups -10b,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
SLC-&-Family-Groups--18,SLC---family-groups--18.jpg,,,Clemens and Langdon families at Quarry Farm ,,1874,,,,,,,The Mark Twain House & Museum,SLC & Family Groups -18,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
SLC-1881-85--7,SLC-1881-85--7--3-.tif,,,Samuel L. Clemens at writing desk ,,,,,,,,,The Mark Twain House & Museum,SLC 1881-85 -7,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Cyril Clemens collection",
SLC-1903--21,SLC-1903--21.TIF,,,Mark Twain in the Study,,1903,,,,,,,The Mark Twain House & Museum,SLC 1903 -21,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
SLC-Alone-1871-75--8,SLC-Alone-1871-75--8.TIF,,,Portrait of Samuel Langhorne Clemens,Rogers & Nelson,1873,,social; personal relationships; faily; identity; cultural; Arts; visual arts; photography,Samuel Longhorne Clemens; Rogers & Nelson,"Rogers & Nleson, 215 Regent Street, London. ",51.5135846,,The Mark Twain House & Museum,SLC Alone 1871-75 -8,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,"Photograph of Samuel Clemens (Mark Twain), taken 1873 by Rogers & Nelson, located at 215 Regent Street, London. "
SLC-GG_11Sept1880,,,,"Telegram from Samuel Clemens to George Griffin,",Samuel L. Clemens,09/11/1880,"Telegram, paper, approximately 8 7/16 inches by 5 7/8 inches. The telegram was sent using the American Union Telegraph Company as indicated by their logo at the top of the page. The telegram was sent from Samuel L. Clemens (Mark Twain) from Elmira, New York where the family often stayed with Clemens' in-laws, to George Griffin, the family's Hartford-based butler. The telegram is dated September 11, 1880 and instructs George to collect $20 from Charles Perkins, Clemens' friend, lawyer, and business agent. On the back of the page, George writes in pencil: ""Rec'd  indiscernible twenty \ dollars - Sept 13, 1880 \ George Griffin""

Transcription: 
The American union telegraph company is not to be liable for damages arising from any failure to transmit or deliver, or from any error in the transmission or delivery of, an unrepeated telegram, beyond the amount received for sending the same. but, to guard against errors, the company will repeat back any telegram, for an extra payment of one-half the regular rate, and in that case it is not to be liable for damages, beyond fifty times the amount received for sending and repeating the telegram.

The American union telegraph company. LOGO

The American union telegraph company is not to be liable in any case for damages, unless the same be claimed, in writing, within sixty days after the receipt of the telegram for transmission. and this company is not to be liable for the act or omission of any other company, but it will endeavor to forward this telegram over the lines of any other telegraph company, necessary to reaching its destination, but only as the agent of the sender and without liability therefor.

Lessee of the Dominion Telegraph Co. of Canada, and connecting with the French Atlantic Cable.

Wire No. 28
Delivery No. 26
Sent by Me
Rec’d by chs
Check 10/35
Time 5P

This Telegram has been received at Sep 11 1880
Dated Elmira NY 11 1880, upon the above conditions
To Geo Griffin
With SL Clemens

Show this telegram to Mr
Perkins & get twenty dollars
SL Clemens
Form 10.
",Social;Personal Relationships;Economical;Finance,Samuel L. Clemens; George Griffin,,,,Mark Twain House and Museum,SLC-GG_11Sept1880,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Perkins Collection","Telegram from Samuel Clemend to George Griffin allowing him to request Mr. Perkins to give him twenty dollars. Dated September 11, 1880. The telegram company is American Union Telegraph, and its letterhead is printed at the top of the page. On the back is a confirmation by George Griffin that he recived the money on Sept. 13th."
SLC-with-misc--friends-1835-1839--8,SLC-with-Misc.-Friends-1835-89--8.jpg,,,George Washington Cable,,1884,,,,,,,The Mark Twain House & Museum,SLC with misc. friends 1835-1839 -8,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum,
Stenciling-hallway-(Matt)-,Stenciling-hallway--Matt-.jpg,,,Stenciling ,,2000s,,,,,,,The Mark Twain House & Museum,Stenciling hallway (Matt) ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
Stereograph No -01,yes,,,"The Mark Twain House by Isaac White, Photographer, Pratt Street, Hartford, Conn. ",Isaac White,,,Culture; Arts; Visual Arts; Photography; Environment; Built Environment; Buildings/Architecture,,"41.76744568744888,-72.6735497346832",41.76705545,-72.70141583,The Mark Twain House & Museum,Stereograph No -01,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,The Mark Twain House & Museum Collections,"7x4 inch stereoscope photograph card, consisting of two black and white photographs of the north-west corner of the Mark Twain House in Hartford Connecticut. Taken from across Farmington Avenue. The two photographs are pasted on to the cardstock backing board. Along the proper right edge is printed script text reading ""15 Pratt Street, Hartford, Conn."" and along the proper left edge is printed script text reading ""Isaac White, Photographer, Successor to Presscott & White."" 

Isaac White became sole proprietor of the photography business after his partner D.K. Prescott left for Boston in 1873. The business was formerly Prescott & Gage from 1863-1867. Prescott & White was located at 368 Main Street, Hartford in 1867; in 1872 the firm moved to 15 Pratt Street, Hartford. "
Susy's-Bedroom--1-Groo-2023,Susy's-Bedroom--1-Groo-2023.jpg,,,Susy's Bedroom,John Groo,2023,,,,,,,The Mark Twain House & Museum,Susy's Bedroom -1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
The-Mysterious-Stranger-Wat---810C625my,The-Mysterious-Stranger-Wat.--810C625my.jpg,,,The Mysterious Stranger,Mark Twain,1916,,,,,,,The Mark Twain House & Museum,The Mysterious Stranger Wat. -810C625my,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
The-Prince-and-the-Pauper--11-1st-ed--cover,Prince---Pauper--11-1st-ed-cover.tif,,, The Prince & The Pauper,Mark Twain,1881,,,,,,,The Mark Twain House & Museum,The Prince and the Pauper -11 1st ed. cover,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
